ter;plot;label;ms;com;water;probes;soil.moisture.j0;soil.moisture.j1;temperature
2;5;563;1;A;1;1;5,9;8,6;27
2;5;568;0;D;0;1;5,4;5,4;28,5
2;5;585;1;P;1;1;6,8;12,7;28,9
2;5;587;0;A;1;1;4,7;10,5;28,1
2;5;588;1;M;1;1;4,8;4,9;25,4
2;5;589;0;M;0;1;3,7;4;33,8
2;5;597;0;M;0;1;4,4;3,8;31,2
2;5;598;1;P;0;1;4,8;5,1;25,2
2;5;599;0;P;0;1;4,5;5;33
2;5;618;1;D;0;1;2,9;3,4;32,2
2;5;624;0;A;0;1;5,2;5,3;32,4
2;5;625;1;A;0;1;5;4,8;27,6
2;5;628;0;D;0;1;5,1;4,7;33,8
2;5;629;1;D;0;1;4,4;3,9;26,8
2;5;631;0;D;0;1;3,2;3,3;38
2;5;637;1;D;0;1;5,6;5;32,6
2;6;490;0;D;1;1;4,1;10,8;31,4
2;6;502;1;P;0;1;4,4;4,5;24,4
2;6;503;0;P;0;1;3,7;3,4;30,4
2;6;504;1;P;1;1;4,8;5,6;22,6
2;6;505;0;P;1;1;4,7;6,3;28,8
2;6;506;1;D;1;1;4;7,6;25,4
2;6;514;1;D;1;1;5,8;8,8;28
2;6;515;0;D;1;1;4,8;6,6;32
2;6;523;1;P;0;1;5,7;5,4;32,3
2;6;552;1;M;1;1;4,9;5;26,2
2;6;557;1;M;1;1;4,7;5,8;23,5
2;6;558;0;M;0;1;2,2;2,2;32,4
2;6;560;0;A;0;1;4,4;4,7;42,1
2;7;642;1;A;0;1;4,2;4;36,2
2;7;656;0;M;0;1;4;3;35,9
2;7;657;1;M;1;1;5;13;27,9
2;7;660;1;M;1;1;5,5;12,6;33
2;8;409;1;D;1;1;6,2;12;30,7
2;8;410;0;D;1;1;3,5;10;37,6
2;8;421;0;A;0;1;7,3;6,7;33,7
2;8;428;1;A;0;1;6,1;6;28
2;8;432;0;M;0;1;4,9;4,5;16,2
2;8;443;0;M;1;1;8,1;13;33,1
2;8;446;1;M;0;1;6,2;5,8;27,2
2;8;451;0;A;0;1;5,7;5,3;30,9
2;8;452;1;A;1;1;5,4;7,9;31,7
2;8;462;0;A;1;1;4,4;11,5;32,2
2;8;480;1;A;0;1;5,6;5;28,4
3;9;887;0;M;1;1;6,1;9,5;22,8
3;9;891;0;M;0;1;4,1;3,8;28,8
3;9;892;1;M;1;1;3,4;10,3;25,7
3;9;899;0;P;1;1;5,1;5,2;21,1
3;9;907;0;A;0;1;5;4,7;23,3
3;9;913;0;M;0;1;3,7;3,4;23,6
3;9;915;0;D;0;1;4,6;4,3;24,6
3;9;923;0;A;1;1;5,2;9,6;31,4
3;9;925;1;P;0;1;4;4;24,6
3;9;926;0;D;0;1;4,2;4,2;31,2
3;9;928;0;P;1;1;4,2;8,4;23,6
3;9;936;0;P;0;1;6,4;6,8;38,5
3;9;939;1;M;0;1;4,3;4,2;29,3
3;9;948;0;D;1;1;4,2;4,1;29
3;9;956;1;M;1;1;6,3;10,4;24,6
3;10;1117;1;D;0;1;4,7;4,6;31,6
3;10;1145;1;D;0;1;5,3;4,6;30,5
3;10;1068;1;D;0;1;2,5;2,2;27
3;11;1022;0;M;0;1;5,3;5,2;41,6
3;11;1030;0;D;0;1;5;5,2;27,6
3;11;1031;0;P;0;1;7,2;7,6;23,5
3;11;1032;1;P;0;1;7,4;7,7;35
3;11;1043;0;M;1;1;6;11,8;29,7
3;11;1044;1;M;0;1;6,1;6,2;25,2
3;11;1153;0;M;0;1;7,6;8;39,1
3;11;1154;1;M;0;1;6;5,5;26
3;11;1156;0;A;1;1;7,8;15,2;26,3
3;11;1095;1;A;0;1;6,7;6,6;27,1
3;11;1005;1;D;1;1;3,5;3,7;26,7
3;11;1021;0;D;1;1;4,1;8,7;32
3;12;805;1;A;0;1;4,7;4,1;26,6
3;12;810;1;D;0;1;4,5;4,5;34,2
3;12;814;0;P;0;1;3,4;3,6;26,3
3;12;825;0;P;0;1;3,4;3,3;38,1
3;12;833;1;P;0;1;4,3;4,1;26,3
3;12;849;0;D;0;1;5,3;4,2;36,7
3;12;850;1;D;1;1;4,8;5,8;34,1
3;12;851;1;M;0;1;4,6;4,5;27,8
3;12;858;0;M;1;1;5,7;9;26,3
3;12;865;1;A;0;1;4,3;4,2;27,8
3;12;876;1;P;0;1;5,5;5,4;27,1
4;13;362;0;A;0;1;6,1;6,2;38
4;13;367;0;D;1;1;5,7;12,6;34,9
4;13;375;1;M;0;1;5,1;5,4;25
4;13;376;0;M;1;1;4,9;9,3;34,6
4;13;386;1;M;1;1;7,1;11;29,9
4;13;384;1;P;1;1;4,5;9,9;24,7
4;13;969;0;M;0;1;5;5,3;39,2
4;13;975;1;A;1;1;5;12,7;25,4
4;13;984;1;M;1;1;6,1;10,5;24,7
4;13;987;0;A;1;1;5,6;12,2;26,1
4;14;296;0;D;1;1;5,9;12,3;29
4;14;297;1;D;1;1;6,1;10,5;29,3
4;14;300;1;D;0;1;7,4;6,8;28,5
4;14;308;1;D;0;1;4;3,7;33,8
4;14;319;0;M;0;1;5,8;5,7;44,3
4;14;321;1;M;1;1;5,4;11,2;28,5
4;14;331;1;A;1;1;6,4;8;24,7
4;14;332;0;P;0;1;5,5;5,9;39,6
4;14;353;0;P;1;1;5,5;5,9;41,5
4;15;1453;1;D;1;1;4,9;9,8;24,4
4;15;1459;0;D;1;1;5,6;8,8;40
4;15;1463;1;P;0;1;4,8;4,2;33,4
4;15;1472;1;P;1;1;5,8;7,5;30,3
4;15;1475;1;M;0;1;4,1;3,9;34,4
4;15;1477;1;A;1;1;5,8;10,4;39,9
4;15;1496;0;A;1;1;3,3;5,8;39,2
4;15;1503;1;P;0;1;4,4;4,5;39,7
4;15;1524;0;A;0;1;5,2;5,5;46,9
