ter;plot;label;ms;com;water;probes;soil.moisture;temperature;PAR;notes
2;5;563;1;A;1;1;13,4;14,7;65;NA
2;5;568;0;D;0;1;NA;19,5;96;NA
2;5;585;1;P;1;1;17,6;18,4;71,8;NA
2;5;587;0;A;1;1;14;20;97,4;NA
2;5;588;1;M;1;1;13,6;16,9;24,3;NA
2;5;589;0;M;0;1;11;17,4;89,1;NA
2;5;597;0;M;0;1;10,5;18,7;91;NA
2;5;598;1;P;0;1;10,6;17,5;47,2;NA
2;5;599;0;P;0;1;10,7;19,7;160,1;NA
2;5;618;1;D;0;1;10,5;16,7;46,8;NA
2;5;624;0;A;0;1;12,5;17,3;150,3;NA
2;5;625;1;A;0;1;12;16,1;79,1;NA
2;5;628;0;D;0;1;11,2;16,8;100;NA
2;5;629;1;D;0;1;11;17,9;81,2;NA
2;5;631;0;D;0;1;8,2;19,7;94;NA
2;5;637;1;D;0;1;12,1;15,5;33;NA
2;6;490;0;D;1;1;15,5;19;76;NA
2;6;502;1;P;0;1;10,3;16,3;79;NA
2;6;503;0;P;0;1;8,4;18,4;97;NA
2;6;504;1;P;1;1;10,2;16;50;NA
2;6;505;0;P;1;1;13,5;18,7;135;NA
2;6;506;1;D;1;1;16,4;17,9;60;NA
2;6;514;1;D;1;1;19;15,6;45;NA
2;6;515;0;D;1;1;14,7;18,2;103;NA
2;6;523;1;P;0;1;16,7;16,6;68;NA
2;6;552;1;M;1;1;12,4;15,8;64;NA
2;6;557;1;M;1;1;14,2;16,1;65;NA
2;6;558;0;M;0;1;10,6;17,5;98;NA
2;6;560;0;A;0;1;9,4;17,8;88;NA
2;7;642;1;A;0;1;9,3;18,2;72;NA
2;7;656;0;M;0;1;8,4;18;90;NA
2;7;657;1;M;1;1;19;16,9;50;NA
2;7;660;1;M;1;1;17;16,6;44;NA
2;8;409;1;D;1;1;11,3;15,9;26;NA
2;8;410;0;D;1;1;13,1;17,2;70;NA
2;8;421;0;A;0;1;17,4;16,5;72;NA
2;8;428;1;A;0;1;15,5;17;64;NA
2;8;432;0;M;0;1;10,7;17,4;68;NA
2;8;443;0;M;1;1;22;16,9;82;NA
2;8;446;1;M;0;1;10,3;15,9;53;NA
2;8;451;0;A;0;1;11;17,3;63;NA
2;8;452;1;A;1;1;12,7;15,6;39;NA
2;8;462;0;A;1;1;12,7;16,1;58;NA
2;8;480;1;A;0;1;12,6;14,4;22;NA
3;9;887;0;M;1;1;15,5;15,6;193;NA
3;9;891;0;M;0;1;13,1;22,7;232;NA
3;9;892;1;M;1;1;14,2;17;32;NA
3;9;899;0;P;1;1;11,9;19,8;220;NA
3;9;907;0;A;0;1;12,4;24,1;212;NA
3;9;913;0;M;0;1;10,6;17,1;140;NA
3;9;915;0;D;0;1;10,9;20,5;207;NA
3;9;923;0;A;1;1;16,4;17,3;157;NA
3;9;925;1;P;0;1;10,9;15,9;64;NA
3;9;926;0;D;0;1;8,5;21,5;220;NA
3;9;928;0;P;1;1;16;20,5;154;NA
3;9;936;0;P;0;1;13,1;18,7;183;NA
3;9;939;1;M;0;1;8,3;17,6;45;NA
3;9;948;0;D;1;1;13,2;21,2;160;NA
3;9;956;1;M;1;1;19,1;16,8;60;NA
3;10;1117;1;D;0;1;11,8;17,1;63;NA
3;10;1145;1;D;0;1;11,4;16,4;37;NA
3;10;1068;1;D;0;1;7,7;15,7;45;NA
3;11;1022;0;M;0;1;11,9;15,5;89;NA
3;11;1030;0;D;0;1;11;20,3;125;NA
3;11;1031;0;P;0;1;14,1;20,5;160;NA
3;11;1032;1;P;0;1;13,2;13,4;24;NA
3;11;1043;0;M;1;1;17,1;18,3;104;NA
3;11;1044;1;M;0;1;13;16,1;56;NA
3;11;1153;0;M;0;1;19,5;15,5;170;NA
3;11;1154;1;M;0;1;14,2;14;75;NA
3;11;1156;0;A;1;1;23;22,2;112;NA
3;11;1095;1;A;0;1;13,8;15,1;16;NA
3;11;1005;1;D;1;1;10,1;15,3;35;NA
3;11;1021;0;D;1;1;14,6;19;98;NA
3;12;805;1;A;0;1;13,8;14,2;21;NA
3;12;810;1;D;0;1;12;15,2;50;NA
3;12;814;0;P;0;1;NA;24,1;210;NA
3;12;825;0;P;0;1;10,2;17,1;210;NA
3;12;833;1;P;0;1;9,2;14,1;26;NA
3;12;849;0;D;0;1;11,3;19;206;NA
3;12;850;1;D;1;1;15;14,1;30;NA
3;12;851;1;M;0;1;10,8;18,3;24;NA
3;12;858;0;M;1;1;NA;17,2;25;NA
3;12;865;1;A;0;1;NA;14,2;10;NA
3;12;876;1;P;0;1;NA;16,6;75;NA
4;13;362;0;A;0;1;20;18,2;107;NA
4;13;367;0;D;1;1;22;21;162;NA
4;13;375;1;M;0;1;15,5;17,3;64;NA
4;13;376;0;M;1;1;16;19,6;166;NA
4;13;386;1;M;1;1;23,3;17,2;50;NA
4;13;384;1;P;1;1;19,5;15,8;156;NA
4;13;969;0;M;0;1;14;19,6;167;NA
4;13;975;1;A;1;1;18,1;16,7;60;NA
4;13;984;1;M;1;1;18,2;17,2;100;NA
4;13;987;0;A;1;1;23,8;26;150;NA
4;14;296;0;D;1;1;18,1;19,5;190;NA
4;14;297;1;D;1;1;15,7;19,3;79;NA
4;14;300;1;D;0;1;15,4;14,3;52;NA
4;14;308;1;D;0;1;14;15,9;110;NA
4;14;319;0;M;0;1;13,4;24,6;190;NA
4;14;321;1;M;1;1;19,9;17,6;49;NA
4;14;331;1;A;1;1;19;17,8;136;NA
4;14;332;0;P;0;1;12,2;23,7;194;NA
4;14;353;0;P;1;1;13,9;22,2;151;NA
4;15;1453;1;D;1;1;15,7;16,8;123;NA
4;15;1459;0;D;1;1;18,1;23,6;144;NA
4;15;1463;1;P;0;1;13,1;17;123;NA
4;15;1472;1;P;1;1;21,2;19,2;67;NA
4;15;1475;1;M;0;1;12;18,7;98;NA
4;15;1477;1;A;1;1;19,8;19,5;110;NA
4;15;1496;0;A;1;1;13,7;24,1;133;NA
4;15;1503;1;P;0;1;12,9;17,8;59,6;NA
4;15;1524;0;A;0;1;12,2;21,3;139;NA
